EventType,EventTime_ET,OffsetMin,Minute_ET,Actual,Forecast,Previous,BTC_ret_1m,ETH_ret_1m,Surprise,Category,BTC_volume_1m,ETH_volume_1m
CPI,2024-01-11 09:30:00-05:00,30,2024-01-11 10:00:00-05:00,0.3,0.3,0.3,-0.00121924,-0.00340435,0,Equal,149.04,1571.23
CPI,2024-01-11 09:30:00-05:00,31,2024-01-11 10:01:00-05:00,0.3,0.3,0.3,-0.00184161,0.00214013,0,Equal,176.86,2177.75
CPI,2024-01-11 09:30:00-05:00,32,2024-01-11 10:02:00-05:00,0.3,0.3,0.3,0.00011193,0.00116859,0,Equal,193.83,2951.03
CPI,2024-01-11 09:30:00-05:00,33,2024-01-11 10:03:00-05:00,0.3,0.3,0.3,-0.0003149,-0.00149912,0,Equal,210.48,1825.13
CPI,2024-01-11 09:30:00-05:00,34,2024-01-11 10:04:00-05:00,0.3,0.3,0.3,-0.00328074,-0.0020317,0,Equal,331.84,1475.23
CPI,2024-01-11 09:30:00-05:00,35,2024-01-11 10:05:00-05:00,0.3,0.3,0.3,-0.00314979,-0.00052393,0,Equal,592.43,2659.06
CPI,2024-01-11 09:30:00-05:00,36,2024-01-11 10:06:00-05:00,0.3,0.3,0.3,-0.00191302,-0.00037443,0,Equal,270.01,1660.23
CPI,2024-01-11 09:30:00-05:00,37,2024-01-11 10:07:00-05:00,0.3,0.3,0.3,0.00275776,0.00279805,0,Equal,273.84,1432.2
CPI,2024-01-11 09:30:00-05:00,38,2024-01-11 10:08:00-05:00,0.3,0.3,0.3,-0.00088072,0.00052667,0,Equal,214.94,2821.73
CPI,2024-01-11 09:30:00-05:00,39,2024-01-11 10:09:00-05:00,0.3,0.3,0.3,-0.00280769,0.00227358,0,Equal,341.22,5053.86
CPI,2024-01-11 09:30:00-05:00,40,2024-01-11 10:10:00-05:00,0.3,0.3,0.3,-0.00081685,-0.00222745,0,Equal,413.02,3046.94
CPI,2024-01-11 09:30:00-05:00,41,2024-01-11 10:11:00-05:00,0.3,0.3,0.3,0.00236658,0.00178071,0,Equal,209.9,1350.82
CPI,2024-01-11 09:30:00-05:00,42,2024-01-11 10:12:00-05:00,0.3,0.3,0.3,0.00151522,0.00166575,0,Equal,197.7,1669.63
CPI,2024-01-11 09:30:00-05:00,43,2024-01-11 10:13:00-05:00,0.3,0.3,0.3,-0.00182886,-0.0022173,0,Equal,134.65,926.23
CPI,2024-01-11 09:30:00-05:00,44,2024-01-11 10:14:00-05:00,0.3,0.3,0.3,0.00030506,-0.00284117,0,Equal,115.56,1282.85
CPI,2024-01-11 09:30:00-05:00,45,2024-01-11 10:15:00-05:00,0.3,0.3,0.3,-0.0030107,-0.00318206,0,Equal,131.39,1442.08
CPI,2024-01-11 09:30:00-05:00,46,2024-01-11 10:16:00-05:00,0.3,0.3,0.3,-0.00052721,0.00095279,0,Equal,240.38,2307.25
CPI,2024-01-11 09:30:00-05:00,47,2024-01-11 10:17:00-05:00,0.3,0.3,0.3,-0.00312814,-0.00340654,0,Equal,329.1,2202.7
CPI,2024-01-11 09:30:00-05:00,48,2024-01-11 10:18:00-05:00,0.3,0.3,0.3,-0.00137262,0.00002632,0,Equal,251.11,1868.07
CPI,2024-01-11 09:30:00-05:00,49,2024-01-11 10:19:00-05:00,0.3,0.3,0.3,-0.00106015,-0.00397461,0,Equal,346.81,2093.06
CPI,2024-01-11 09:30:00-05:00,50,2024-01-11 10:20:00-05:00,0.3,0.3,0.3,0.00271054,0.00290697,0,Equal,223.7,1725.88
CPI,2024-01-11 09:30:00-05:00,51,2024-01-11 10:21:00-05:00,0.3,0.3,0.3,0.00189579,0.00118953,0,Equal,205.38,1276.54
CPI,2024-01-11 09:30:00-05:00,52,2024-01-11 10:22:00-05:00,0.3,0.3,0.3,-0.00295698,-0.00220704,0,Equal,227.39,1390.84
